,text,embeddings,distances
14,January 23 – A coup d'état in Burkina Faso removes president Roch Kaboré from power. The Burkinabé military cites the government's failure to contain activities of Islamist militants within the country as a reason for the coup.,"[-0.02865046 -0.01283791  0.00638308 ... -0.00050067  0.00938707
  0.00635372]",0.228697095079112
123,"August 30 – The last Soviet Leader, Mikhail Gorbachev died at the age of 91.","[ 0.00223682 -0.00315037 -0.01854507 ...  0.01417027  0.01443811
  0.00459163]",0.2299748138130223
5,"January 4 – The five permanent members of the UN Security Council—China, France, Russia, the United Kingdom and the United States—issue a rare joint statement affirming that ""a nuclear war cannot be won and must never be fought.""","[-0.00322142 -0.01271612 -0.00744757 ...  0.01375225  0.0182233
 -0.00874744]",0.2302437805102571
114,"August 5 – August 7 – Israel launches airstrikes in the Gaza Strip, killing Islamic Jihad military leader Tayseer Jabari. Both parties agree to a ceasefire after three days of skirmish.","[-0.03569836 -0.0049203  -0.00199069 ... -0.00619618  0.02630268
 -0.01202595]",0.2336922671901511
46,"March 10 – The National Assembly of Hungary elects former minister for Family Affairs, Katalin Novák, as president of Hungary in a 137–51 vote.","[-0.01298196 -0.01209844 -0.00022068 ... -0.00059815  0.00438859
 -0.02878861]",0.2369344576571852
144,"September 30 – Burkina Faso's military junta is overthrown by the country's second coup of the year, led by army captain Ibrahim Traoré.","[-0.03013031 -0.01723224  0.00342034 ... -0.00180318  0.01372052
  0.00736286]",0.2373157845811723
120,"August 19 – The coalition government of Montenegrin prime minister Dritan Abazović collapses after the 81-seat Parliament of Montenegro passes a motion of no confidence in a vote of 50–1, following dispute within the coalition over an agreement the government signed with the Serbian Orthodox Church.","[-0.00744243  0.00508271 -0.02425826 ... -0.01593217 -0.00375067
 -0.00817555]",0.2373615483208694
38,"March 3 – The National Assembly of Armenia elects incumbent minister of High-Tech Industry and former mayor of Yerevan, Vahagn Khachaturyan, as president of Armenia following the resignation of Armen Sarkissian.","[-0.00547598 -0.00600904 -0.01567519 ... -0.00780529  0.01170793
  0.00228731]",0.2415659185963775
112,"August 4 – China conducts its largest ever military exercise around Taiwan in response to a controversial visit by Nancy Pelosi, the highest-ranking U.S. official to visit Taiwan since the 1990s.","[-0.01855546 -0.02346108  0.00345475 ... -0.01269345  0.00662649
 -0.0143395 ]",0.2428534659237741
99,"July 6 – July 31 – UEFA Women's Euro 2022, originally intended for 2021 but indirectly delayed due to UEFA Euro 2020 being delayed, is held in England, with the hosts winning their first major tournament since 1966.","[-0.00140111 -0.03906411 -0.00613054 ... -0.00868861  0.01877597
 -0.01309278]",0.2432020964645795
90,"June 14 – Canada and Denmark end their competing claims for Hans Island by dividing the island roughly in half, ending what was referred to as the Whisky War.","[-0.01034479 -0.01578151 -0.00521155 ...  0.02239957  0.01836608
 -0.0099075 ]",0.2433739820733218
93,"June 22 – A 6.2 earthquake strikes the Durand Line between Afghanistan and Pakistan, killing at least 1,163 people.","[-0.00163892 -0.00257392  0.00218522 ...  0.0060755  -0.00021272
 -0.01995116]",0.243777218459696
88,June 4 – Retired general Bajram Begaj is elected the 9th President of Albania by the parliament in the 4th round of voting.,"[-0.00902176 -0.00620767 -0.01066732 ... -0.02609845  0.01891433
 -0.00088441]",0.2438354137168342
